timestamp,document,total_tokens,num_chunks,avg_chunk_size,max_chunk_size,min_chunk_size,tokenization_time,chunking_time
2024-09-10T10:13:46.715561,embeddings,embedding_generation_start_time,1725977624.2046878
2024-09-10T10:13:46.715561,embeddings,embedding_generation_end_time,1725977626.7155619
2024-09-10T10:13:46.715561,embeddings,embedding_generation_time,2.510874032974243
2024-09-10T10:16:14.099517,embeddings,num_embeddings,10
2024-09-10T10:16:14.099517,embeddings,embedding_dimension,1536
2024-09-10T10:16:14.099517,embeddings,embedding_generation_start_time,1725977772.4576056
2024-09-10T10:16:14.099517,embeddings,embedding_generation_end_time,1725977774.0995173
2024-09-10T10:16:14.099517,embeddings,embedding_generation_time,1.6419117450714111
2024-09-10T10:17:52.542347,embeddings,num_embeddings,10
2024-09-10T10:17:52.542347,embeddings,embedding_dimension,1536
2024-09-10T10:17:52.542347,embeddings,embedding_generation_start_time,1725977870.8568656
2024-09-10T10:17:52.542347,embeddings,embedding_generation_end_time,1725977872.5423472
2024-09-10T10:17:52.542347,embeddings,embedding_generation_time,1.6854815483093262
2024-09-10T10:18:15.910402,chunks,total_words,4295
2024-09-10T10:18:15.910402,chunks,num_chunks,10
2024-09-10T10:18:15.910402,chunks,avg_chunk_size,3527.2
2024-09-10T10:18:15.910402,chunks,max_chunk_size,5148
2024-09-10T10:18:15.910402,chunks,min_chunk_size,1730
2024-09-10T10:18:15.910402,chunks,document,Biosafety_Guidance.txt
2024-09-10T10:36:32.382362,embeddings,num_embeddings,10
2024-09-10T10:36:32.382362,embeddings,embedding_dimension,1536
2024-09-10T10:36:32.382362,embeddings,embedding_generation_start_time,1725978990.139678
2024-09-10T10:36:32.382362,embeddings,embedding_generation_end_time,1725978992.3823621
2024-09-10T10:36:32.382362,embeddings,embedding_generation_time,2.2426841259002686
2024-09-10T10:37:00.304791,chunks,total_words,4295
2024-09-10T10:37:00.304791,chunks,num_chunks,10
2024-09-10T10:37:00.304791,chunks,avg_chunk_size,3527.2
2024-09-10T10:37:00.304791,chunks,max_chunk_size,5148
2024-09-10T10:37:00.304791,chunks,min_chunk_size,1730
2024-09-10T10:37:00.304791,chunks,document,Biosafety_Guidance.txt
2024-09-10T10:42:31.493154,embeddings,num_embeddings,10
2024-09-10T10:42:31.493154,embeddings,embedding_dimension,1536
2024-09-10T10:42:31.493154,embeddings,embedding_generation_start_time,1725979349.3178246
2024-09-10T10:42:31.493154,embeddings,embedding_generation_end_time,1725979351.4931548
2024-09-10T10:42:31.493154,embeddings,embedding_generation_time,2.17533016204834
2024-09-10T12:24:25.191241,embeddings,num_embeddings,10
2024-09-10T12:24:25.191241,embeddings,embedding_dimension,1536
2024-09-10T12:24:25.191241,embeddings,embedding_generation_start_time,1725985463.159933
2024-09-10T12:24:25.191241,embeddings,embedding_generation_end_time,1725985465.1912415
2024-09-10T12:24:25.191241,embeddings,embedding_generation_time,2.03130841255188
2024-09-10T12:29:54.874538,chunks,total_words,4295
2024-09-10T12:29:54.874538,chunks,num_chunks,10
2024-09-10T12:29:54.874538,chunks,avg_chunk_size,3527.2
2024-09-10T12:29:54.874538,chunks,max_chunk_size,5148
2024-09-10T12:29:54.874538,chunks,min_chunk_size,1730
2024-09-10T12:29:54.874538,chunks,document,Biosafety_Guidance.txt
2024-09-12T22:45:30.525854,chunks,total_words,4295
2024-09-12T22:45:30.525854,chunks,num_chunks,10
2024-09-12T22:45:30.525854,chunks,avg_chunk_size,3527.2
2024-09-12T22:45:30.525854,chunks,max_chunk_size,5148
2024-09-12T22:45:30.525854,chunks,min_chunk_size,1730
